pras_ts,psy_no_scaling,psy_scaling
0,0.0,0.0
9,0.0,0.0
9,0.0,0.0
16,0.00134,1.2756800000000001
22,0.00411,3.9127199999999998
90,0.00595,5.6644000000000005
109,0.01004,9.55808
125,0.01811,17.24072
176,0.02545,24.2284
155,0.02278,21.68656
177,0.03199,30.454479999999997
254,0.03851,36.66152
289,0.03845,36.6044
265,0.0335,31.892000000000003
281,0.02762,26.29424
279,0.03816,36.32832
270,0.04829,45.97208
412,0.05707,54.33064
393,0.06222,59.233439999999995
438,0.0715,68.068
481,0.05513,52.48376
562,0.01673,15.926959999999998
664,0.00223,2.1229600000000004
657,0.00015,0.14279999999999998
736,0.0,0.0
681,0.0,0.0
666,0.0,0.0
675,0.0,0.0
712,0.0,0.0
789,0.0,0.0
794,0.0,0.0
762,0.0,0.0
706,0.0,0.0
740,0.00377,3.58904
791,0.005,4.76
678,0.01873,17.83096
413,0.03765,35.842800000000004
659,0.03272,31.14944
750,0.04929,46.924080000000004
789,0.03909,37.21368
724,0.04984,47.447680000000005
713,0.07112,67.70624000000001
752,0.06546,62.31792
725,0.06616,62.98432
737,0.04968,47.29536
768,0.01072,10.205440000000001
711,0.00231,2.19912
